Subject,Content,Source,Category
,"Wer installiert das Glasfaserkabel in meiner Wohnung? Sobald Sie bei einem Service Provider ein Angebot bestellt haben, wird die Wohnung mit Glasfaser erschlossen. Dazu erhalten Sie von einem, durch Energie Wasser Bern akkreditierten und beauftragten, Installateur vorgängig eine Terminanfrage. Die Erschliessung und Installation der Glasfasersteckdose ist für Sie kostenlos, sofern die bestehende Verrohrung genutzt werden kann.",FAQ (Q&A),Glasfaser
,Wo kann ich mich über die Angebote informieren? Informationen zu Angeboten erhalten Sie direkt beim jeweiligen Anbieter. Eine Dienstanbieterübersicht finden Sie unter der Rubrik Privat- und/oder Geschäftskunden.,FAQ (Q&A),Glasfaser
,"Können gleichzeitig Angebote von mehreren Anbietern bezogen werden? Ja. Es ist möglich z. B. das Telefon von einem, das Internet von einem zweiten und die TV-Dienste von einem dritten Anbieter zu erhalten. Die meisten Kunden werden voraussichtlich ein All-in-one-Paket oder Triple Play Angebot der Service Provider nutzen.",FAQ (Q&A),Glasfaser
,Wieso braucht es ein neues Netz? In privaten Haushalten und in Unternehmen steigt die zu übertragene Datenmenge laufend. Die heutige Kupferinfrastruktur erreicht bald ihre technischen Grenzen und kann diese Anforderungen nicht mehr erfüllen. Nur mit der Glasfasertechnologie kann dieser Bedarf an Bandbreite langfristig gedeckt werden.,FAQ (Q&A),Glasfaser
,"Was muss ich als Hausbesitzer für einen Anschluss unternehmen? Nichts. Wir informieren Sie rechtzeitig, wenn wir den Termin für die Erschliessung Ihres Hauses festgelegt haben. Sobald der Vertrag durch den Eigentümer unterzeichnet wurde, wird das Gebäude in der Planung zur Erschliessung berücksichtigt.",FAQ (Q&A),Glasfaser
,"Können Geschäftskunden massgeschneiderte Glasfaser-Services beziehen? Energie Wasser Bern bietet speziell für Geschäftskunden entwickelte Dienste auf dem Glasfasernetz an. Diese richten sich an die Bedürfnisse von Grosskunden und Dienstleitungsanbietern, welche auf dem ultraschnellen Datennetz eigene Angebote entwickeln. Eine Übersicht der Business Services finden Sie hier.",FAQ (Q&A),Glasfaser
,"Wie wird das Glasfasernetz gebaut? Wann immer möglich nutzt Energie Wasser Bern für den Bau des Glasfasernetzes Synergien mit der bestehenden Infrastruktur. Dazu werden auch Leerrohre, sogenannte Mikrorohre verlegt, in welche die Glasfasern eingezogen oder mit Druckluft eingeblasen werden. Die Kabel führen von 2 zentralen Standorten (Core POP) zu 7 Unterzentralen (CO) von Energie Wasser Bern, welche sich in den jeweiligen Stadtteilen befinden. Von dort aus führen sie weiter zu den ca. 1000 Schächten mit Muffen (Manhole) in die Quartiere. Das letzte Stück von der Muffe im Schacht führt zu den Hausanschlusskästen (BEP), meist im Keller, und weiter in die Wohnungen oder Geschäftsräume zur Glasfasersteckdose (OTO). An diesen wird das Endkunden-Anschlussgerät (CPE) eingesteckt. Die individuelle Verkabelung der Wohnung und Geschäftsräume ist nicht im Verantwortungsbereich von Energie Wasser Bern.",FAQ (Q&A),Glasfaser
,"Was muss ich für einen Anschluss meiner Liegenschaft machen? Die Eigentümer der Liegenschaften und Wohnungen werden vorgängig über den Zeitpunkt der Erschliessung informiert. Wenn die Eigentümer oder Gebäudeverwaltung den Leitungsanschlussvertrag mit Energie Wasser Bern unterzeichnet haben, stehen die Chancen gut, dass Sie Ihren Anschluss schon bald erhalten. Sonst müssen Sie vorher nichts unternehmen.",FAQ (Q&A),Glasfaser
,"Was ist das Berner Glasfasernetz? Bis 2025 wird die gesamte Stadt Bern an das Glasfasernetz angeschlossen. Die Glasfasertechnologie ermöglicht den ultraschnellen Transport von Daten aller Art. Über eine einzige Steckdose sind digitales Fernsehen in höchster Auflösung und mit vielen Zusatzfunktionen (zum Beispiel zeitversetztes Fernsehen), Video on Demand, besonders schnelles Internet, E-Learning und Telefonie verfügbar. Energie Wasser Bern baut das schnelle Datennetz in Kooperation mit Swisscom.",FAQ (Q&A),Glasfaser
,"Wo wird wann gebaut? Die Erschliessung erfolgt nicht nach Quartieren, sondern zellenförmig, in sogenannten Mikrozellen. Die Aufteilung und Reihenfolge der Realisierung dieser Gebiete legt Energie Wasser Bern nach technischen, logistischen und wirtschaftlichen Kriterien fest. Wir achten darauf, Synergien im Leitungsbau mit anderen Medien zu nutzen. Weiter müssen auch die städtischen Bauvorgaben und Rahmenbedingungen vom Tiefbauamt berücksichtigt werden",FAQ (Q&A),Glasfaser
,Kann ich meine heutigen Elektronikgeräte weiterverwenden? Die heutigen Geräte können weiter benutzt werden. Eventuell müssen für den Anschluss älterer Geräte Adapter eingesetzt werden. Das volle Potential der neuen Technologien lässt sich mit modernen Geräten am einfachsten ausschöpfen.,FAQ (Q&A),Glasfaser
,"Werden die Kupferleitungen entfernt, wenn Glasfasern installiert werden? Der Elektroinstallateur klärt das Vorgehen der Installation im Rahmen einer Besichtigung ab. Die bestehende Kabel-Infrastruktur wird so wenig wie nötig / möglich tangiert. Die Glasfaserkabel sind nur wenige Millimeter dick und finden oft auch in bereits belegten Rohranlagen Platz.",FAQ (Q&A),Glasfaser
,"Müssen Eigentümer einen Vertrag abschliessen? Ja. Der Vertrag bestätigt, dass das Haus angeschlossen und dafür die hauseigene Infrastruktur benutzt werden darf. Mit dem Vertrag gewährt der Hausbesitzer das Recht, die Infrastruktur für den Datentransport zu nutzen.",FAQ (Q&A),Glasfaser
,"Warum wird in Bern das Mehrfasermodell umgesetzt? Jede Wohnung und Geschäftseinheit wird mit vier Fasern angeschlossen. Dies entspricht der Empfehlung des BAKOM und wird in der ganzen Schweiz angewandt. Eine Faser wird von Energie Wasser Bern genutzt und steht barrierefrei allen Service Providern zur Verfügung. Eine weitere Faser  wird im Rahmen der Kooperation ausschliesslich von Swisscom genutzt. Das Mehrfasermodell garantiert, dass jede Liegenschaft nur einmal angeschlossen wird und dass die Benutzer des Netzes ihren Service Provider frei wählen können.",FAQ (Q&A),Glasfaser
,"Welche Angebote und Dienstleistungen gibt es für Geschäftskunden? Verschiedene Dienstleistungsanbieter haben Geschäftskunden-Angebote im Portfolio. Dazu gehören die ultraschnelle Internetverbindung mit symmetrischem Up-/Download Kapazitäten, für die Nutzung zentral gespeicherter Software und den Remote-Zugriff auf Firmennetzwerke. Weiter können Anwendungen, wie Videofernüberwachung, Videokonferenz und E–Working mit bisher kaum möglicher Effizienz genutzt werden. Eine Übersicht der Anbieter mit einem Link zu  den aktuellen Angeboten finden Sie hier.",FAQ (Q&A),Glasfaser
,"Wer baut das Berner Glasfasernetz? Energie Wasser Bern baut das Netz in Kooperation mit Swisscom. Durch die Nutzung gemeinsamer Kapazitäten und Synergien, kann eine rasche flächendeckende Erschliessung realisiert werden.",FAQ (Q&A),Glasfaser
,"Welche Infrastruktur wird benötigt? Energie Wasser Bern stellt in jeder Wohnung und jedem Geschäftsraum das Endkunden-Anschlussgerät (CPE)  zur Verfügung. Der Eigentümer stellt lediglich die Infrastruktur für die Glasfaserverkabelung (Leerrohre, Steigzone) und den Platz für die Montage des Hausanschlusskastens (BEP, meist im Keller) zur Verfügung.",FAQ (Q&A),Glasfaser
,"Wie profitiert der Wirtschaftsstandort Bern vom Glasfasernetz? Für die Region Bern ist es wichtig, dass der Bau des Glasfasernetzes zügig vorangetrieben wird. Denn der schnelle Zugang zum Netz ist für viele Unternehmen ein wichtiger Standortfaktor. Der Netzbau ist ein arbeitsintensives Projekt mit einem hohen volkswirtschaftlichen Multiplikationseffekt. Weil Services rasch und diskriminierungsfrei verfügbar sind, profitieren einerseits Kunden und andererseits auch Service Provider.",FAQ (Q&A),Glasfaser
,"Welchen Vorteil habe ich als Privatkunde? Der Glasfaseranschluss (OTO) erfolgt für Sie kostenlos. Sie profitieren von der modernsten Kommunikationsinfrastruktur und erhalten ein grösseres Angebot an Multimediadiensten. Mit neuen Anbietern wird der Wettbewerb angeregt, wovon Sie als Kunde profitieren. Sie können Fernsehen in HD-Qualität, digitale Telefonie und ultraschnelles Internet zuhause geniessen.",FAQ (Q&A),Glasfaser
,"Mit welchen Emissionen müssen Hausbesitzer und Mieter rechnen? Wo immer möglich benutzen wir für die Erschliessung des Hauses bestehende Rohranlagen. Wo dies nicht möglich ist, wird eine neue Leitung erstellt (meist im Keller). Auch die, von ewb akkreditierten, Elektroinstallateure, welche die Glasfasern durch die Steigzonen bis in die Wohnungen ziehen, benutzen nach Möglichkeit bestehende Kanäle/Rohranlagen. Wo dies nicht möglich ist, muss neu installiert werden. Diese Kosten werden vom Eigentümer getragen.",FAQ (Q&A),Glasfaser
,"Welche Services können durch Glasfaser gleichzeitig übertragen werden? HDTV, Internet, Telefonie, Video on Demand, Haustechnik, Zählerablesungen, Sicherheits- und Überwachungstechnik usw. Die Glasfaser bietet nahezu unbeschränkte Kapazitäten im Bereich von mehreren Gigabit/s. Grundsätzlich können also dem Benutzer symmetrische Bandbreiten von weit über 100Mb/s im Up- und Download zugänglich gemacht werden.",FAQ (Q&A),Glasfaser
,"Wie profitieren Kundinnen und Kunden vom Berner Glasfasernetz? Alle können von den Vorteilen des schnellen und offenen Netzes profitieren. Der Zugang zum Netz steht allen Service Providern offen. Die Kunden können den Anbieter frei wählen und ohne grossen Aufwand wechseln. Durch den Wettbewerb wird das Serviceangebot erweitert, was zu sehr attraktiven Preisen führt.",FAQ (Q&A),Glasfaser
,"Was soll ein Hausbesitzer machen, wenn er jetzt am Bauen ist? Es ist sinnvoll, Leerrohre zu verbauen, in welche später die Glasfasern und Multimediaverkabelung eingezogen werden können. Weitere Informationen finden Sie in den Hinweisen für Neu- und Sanierungsbauten.",FAQ (Q&A),Glasfaser
,"Wie erfolgt der Anschluss in meiner Liegenschaft? Energie Wasser Bern baut die Glasfaserleitung bis ins Haus und montiert den Hausanschlusskasten (BEP) normalerweise im Keller. Von dort führt ein Glasfaserkabel durch meistens bestehende Infrastruktur (Leerrohre, Steigzone) zu den einzelnen Wohnungen oder Geschäftsräumen. Hier wird zentral eine Glasfasersteckdose montiert und das Endkunden-Anschlussgerät (CPE) eingesteckt.",FAQ (Q&A),Glasfaser
,"Welche Service-Provider können Angebote auf dem Berner Glasfasernetz machen? Energie Wasser Bern betreibt eine Kommunikationsplattform, welche grundsätzlich allen Service Providern offen steht. Im Interesse der Benutzer wollen wir den Wettbewerb fördern und eine Vielzahl von Angeboten auf dem Berner Glasfasernetz zugänglich machen.",FAQ (Q&A),Glasfaser
,Was ist ewb.INTERNET? Nicht nur Strom und Wärme gibt es von Energie Wasser Bern. Mit ewb.INTERNET holen Sie sich Internet aus Bern ins Haus. Ob Sie nur Ihre E-Mails abrufen oder täglich grosse Datenmengen übermitteln: ewb.INTERNET lässt sich modular auf Ihre Bedürfnisse zuschneiden. Sämtliche Angebote bieten symmetrische Up- und Downloadraten und sind kombinierbar mit verschiedenen Optionen. Alle Informationen finden Sie unter ewwwb.ch.,FAQ (Q&A),Glasfaser
,Ist der Vertrag vom HEV geprüft? Den Vertrag zur Glasfasererschliessung haben Swisscom und der Hauseigentümerverband (HEV) Schweiz gemeinsam erstellt. Der HEV Schweiz und HEV Bern empfehlen den Vertrag zur Annahme.,FAQ (Q&A),Glasfaser
,"Welche Vorteile habe ich als Geschäftskunde? Ihre Liegenschaft und Geschäftsräume werden kostenlos mit Glasfasern erschlossen (BEP, OTO). Verfügen Sie über mehrere Standorte auf dem Stadtgebiet, können diese wesentlich besser vernetzt werden. Das diskriminierungsfreie Netz und die hohe Anschlussdichte ermöglicht die Entwicklung neuer Dienstleistungen und Businessmodelle.",FAQ (Q&A),Glasfaser
,"Nur weil ich Ökostrom bestelle, wird noch kein Grosskraftwerk abgestellt? Kurzfristig ist dies richtig. Je mehr Kundinnen und Kunden aber Ökostrom bestellen, desto mehr muss produziert werden – und entsprechend erhöht sich sein Anteil am Strommix. Es wird somit weniger Strom konventionell hergestellt. Bei einer grossen Nachfrage werden zusätzliche Produktionsanlagen für Ökostrom erstellt.",FAQ (Q&A),Strom
,"Kann ich das Stromprodukt auch für gemeinsam genutzte Anlagen wie Lift oder Waschmaschine wählen? Beim Allgemeinzähler hat der Mieter eventuell keinen Einfluss auf das Stromprodukt, da die Rechnung für den Allgemeinzähler oft an die Eigentümerinnen und Eigentümer oder an die Liegenschaftsverwaltung geht. Diese sind dann für die Wahl des Stromproduktes zuständig.",FAQ (Q&A),Strom
,"Wie kann ich Ökostrom bestellen? Bestellen Sie Ökostrom direkt und unkompliziert mit dem Produkte- und Preisrechner oder rufen Sie uns an Telefon 031 321 31 11, unsere Mitarbeitenden beraten Sie gerne.",FAQ (Q&A),Strom
,Kann ich meine Netznutzungskategorie selber wählen? Nein. Die Netznutzungskategorie hängt von Ihrem Stromverbrauch und von der installierten Leistung ab.,FAQ (Q&A),Strom
,"Wie kann ich sicher sein, dass mir Energie Wasser Bern das bestellte Stromprodukt liefert und nicht einfach Kernenergie teuer verkauft? Seit dem 1. Januar 2005 besteht für sämtliche Elektrizitätsunternehmen die gesetzliche Pflicht alle Kundinnen und Kunden darüber zu informieren, wo und mit welcher Technologie ihr Strom im Vorjahr hergestellt worden ist. Zudem sind alle Elektrizitätsunternehmen verpflichtet, eine Elektrizitätsbuchhaltung zu führen. Das Bundesamt für Energie kann Einsicht in diese Daten verlangen. Somit haben unsere Kundinnen und Kunden die Gewissheit, dass die von uns ausgewiesene Energie auch wirklich hergestellt oder eingekauft wurde. Beim Ökostromprodukt ewb.ÖKO.Strom wird zusätzlich einmal jährlich ein Kontrollaudit durchgeführt. Damit wird von einer externen Stelle überprüft, ob wir tatsächlich mindestens so viel Ökostrom ins Netz speisen, wie wir unseren Kundinnen und Kunden verkaufen. Das Kontrollaudit ist eine der Bedingungen, welche das Qualitätslabel naturemade star stellt.",FAQ (Q&A),Strom
,"Wo wird der Ökostrom von Energie Wasser Bern produziert? Alle Produktionsanlagen befinden sich in der Schweiz. Der Anteil Wasserkraft stammt aus den Anlagen Matte und Engehalde, die Solarenergie stammt beispielsweise aus den Anlagen auf dem Tramdepot oder aus Melchnau und die Windenergie kommt aus dem Jura.",FAQ (Q&A),Strom
,"Wie funktioniert die Lieferung von Stromprodukten - ist Strom nicht gleich Strom? Der Strom aus der Steckdose ist bei allen Kunden derselbe. Aber wer Ökostrom bestellt, hat die Gewissheit, dass Energie Wasser Bern die gewünschte Menge produziert oder beschafft und ins Berner Netz einspeist. Je mehr Kundinnen und Kunden Ökostrom bestellen, desto mehr kann produziert werden – und entsprechend erhöht sich der Anteil Ökostrom am gesamten Strommix.",FAQ (Q&A),Strom
,"Gibt es nun keine separaten Wasser- oder Solarprodukte mehr? Strom wird zunehmend auf unterschiedliche Arten hergestellt. Produkte nach ihrer Produktionsart anzubieten erachtet Energie Wasser Bern nicht mehr als zeitgemäss, deshalb wurden einfachere Stromprodukte eingeführt. Die neuen Produkte unterscheiden klar zwischen zertifiziertem Ökostrom, Strom aus erneuerbaren Quellen und Strom aus fossilen Quellen inkl. Kernenergie. Das vereinfacht auch die Kombinationsmöglichkeiten.",FAQ (Q&A),Strom
,"Erhalte ich für Ökostrom eine separate Rechnung? Nein, Ökostrom wird auf Ihrer regulären Jahresrechnung abgerechnet.",FAQ (Q&A),Strom
,"ewb.NATUR.Strom wird teils in grossen Wasserkraftwerken produziert. Einige davon verbrauchen Energie, oft mit Strom aus Kernkraftwerken. Wie wird diese Pumpenergie angerechnet?  Wir sind mit den Kraftwerken Oberhasli und Maggia an zwei Pumpspeicherkraftwerken beteiligt. Damit wir unseren Kundinnen und Kunden ein Produkt aus 100 Prozent Wasserkraft garantieren können, ziehen wir die Strommenge, die aus dem zurückgepumpten Wasser produziert worden ist, von der Gesamtproduktionsmenge ab.",FAQ (Q&A),Strom
,"Weshalb gilt Kehricht als erneuerbare Produktionsart in ewb.NATUR.Strom? Haus- und Siedlungsabfälle enthalten einen erheblichen Anteil organischer Stoffe. Die Energieverordnung vom 7. Dezember 1998 sieht vor, dass 50 Prozent der produzierten Energiemenge als erneuerbar anzurechnen ist. Die anderen nicht erneuerbaren 50 Prozent werden dem Produkt ewb.BASIS.Strom zugeordnet.",FAQ (Q&A),Strom
,Wann kann ich das nächste Mal mein Stromprodukt welchseln? Welche Kündigungsfristen bestehen? Sie können das gewünschte Stromprodukt einmal pro Jahr mit einer Kündigungsfrist von 30 Tagen wechseln. Der Wechsel muss uns schriftlich mitgeteilt werden und erfolgt jeweils auf den ersten Tag des Monats nach Ablauf der Kündigungsfrist.,FAQ (Q&A),Strom
,"Was passiert, wenn ich mich nicht für ein bestimmtes Stromprodukt entscheide? Ohne anders lautende Bestellung, liefert Energie Wasser Bern immer das Produkt ewb.NATUR.Strom.",FAQ (Q&A),Strom
,Kann ich als Mieterin oder Mieter mein Stromprodukt selber wählen? Jede Wohnung verfügt über einen eigenen Zähler. Daher können auch alle Mieterinnen und Mieter das gewünschte Stromprodukt frei wählen.,FAQ (Q&A),Strom
,"Gibt es eine unabhängige Kontrollstelle für den gelieferten Ökostrom? Wir haben alle Ökostromproduktionsanlagen und die Ökostromprodukte nach «naturemade star» zertifizieren lassen. Die Zertifizierungsrichtlinien schreiben vor, dass einmal jährlich ein Kontrollaudit von einer unabhängigen Kontrollstelle durchgeführt werden muss. Bei dieser Kontrolle wird die Einhaltung der Zertifizierungskriterien überprüft. Insbesondere wird geprüft, ob die innerhalb eines Geschäftsjahres verkaufte Menge Ökostrom nicht höher ist als die effektiv produzierte Menge.",FAQ (Q&A),Strom
,"Was ist Ökostrom? Energie Wasser Bern produziert ein Ökostromprodukt, welches mit dem Qualitätslabel «naturemade star» ausgezeichnet ist. ewb.ÖKO.Strom entsteht aus zertifizierter Wasserkraft, Solarenergie und Windkraft und erfüllt höchste Umweltstandards. Das Qualitätslabel «naturemade star» wird vom unabhängigen Verein für umweltgerechte Energie (VUE) vergeben. Der VUE wird unter anderem von WWF Schweiz, pro natura und dem Konsumentenforum getragen. Pro verkaufte Kilowattstunde Strom geht ein Rappen in einen Fonds für ökologische Verbesserungsmassnahmen. Mit den Fondsgeldern werden regelmässig Projekte im hydrologischen Einzugsgebiet realisiert, um dieses ökologisch aufzuwerten.",FAQ (Q&A),Strom
,"In meiner Wohnung habe ich einen viel höheren Stromverbrauch, obwohl ich meine Lebensgewohnheiten nicht verändert habe. Woran liegt das? Der Stromverbrauch wird durch viele Faktoren beeinflusst. Mögliche Gründe für den erhöhten Stromverbrauch können alte Haushaltsgeräte, viele Glühlampen oder die Warmwasseraufbereitung sein. Besuchen Sie den Bereich Energieeffizienz, dort finden Sie wertvolle Tipps wie und wo Sie Strom einsparen können.",FAQ (Q&A),Strom
,"Warum bekomme ich eine Stromrechnung? Ich habe meine Wohnung inklusive Nebenkosten gemietet. Die Nebenkosten enthalten meist die Aufwendungen für Heizung und Warmwasser sowie die Stromkosten für den gemeinsam genutzten Teil des Hauses (Beleuchtung im Treppenhaus, Lift etc.). Der Strom in der Wohnung wird den Mieterinnen und Mietern hingegen direkt durch uns verrechnet.",FAQ (Q&A),Strom
,Wie kann ich meine Stromkosten senken? Sie können die Kosten durch konsequentes Stromsparen beeinflussen. Nützliche Tipps finden Sie im Bereich Nachhaltigkeit/Energieeffizienz.,FAQ (Q&A),Strom
,"Wie kommt Biogas zum Kunden? Das Biogas wird direkt in das vorhandene Erdgasnetz eingespeist. Je höher die Nachfrage an der umweltfreundlichen Alternative ist, umso mehr Biogas wird erzeugt und in das Erdgasnetz eingespeist.",FAQ (Q&A),Warme
,"Wie viel Energie hat Kehricht eigentlich? Ein Vergleich mit Heizöl kann dies verdeutlichen: 3,2 Kilogramm Abfall können gleich viel Wärme abgeben wie ein Liter Heizöl. In einem gefüllten 35-Liter-Kehrichtsack steckt so viel Energie, dass damit ein Zimmer einen Tag lang geheizt werden kann.",FAQ (Q&A),Warme
,"Woher kommt das Biogas von Energie Wasser Bern? Energie Wasser Bern bezieht sein Biogas aus der ara bern. Weitere Mengen stammen aus europäischen Biogasanlagen. Das produzierte Biogas stammt ausschliesslich aus Klärschlamm und organischen Abfällen wie Grüngut und Speiseresten. Bei der Beschaffung von Biogas halten wir uns an die Biogasgrundsätze der Schweizer Gasindustrie: Wir sehen Biogas aus nachwachsenden Rohstoffen wie etwa Mais als ethisch bedenklich an und wollen keinesfalls eine Konkurrenz zu Lebens- oder Futtermitteln aufbauen. Deshalb haben wir uns dazu entschlossen, Biogas nur aus Abfallstoffen zu beziehen.",FAQ (Q&A),Warme
,"Mein Erdgaszähler wird einmal pro Jahr abgelesen. Zu welchem Preis wird das Erdgas verrechnet, wenn während des Jahres die Preise ändern? Die Berechnung erfolgt mit Hilfe der so genannten Heizgradtage. Jeden Monat wird rückwirkend berechnet, wie viele Heizgradtage anfielen. Dabei ist die Aussentemperatur in diesem Monat entscheidend. Der abgelesene Erdgasverbrauch wird gemäss diesen Heizgradtagen auf die Monate aufgeteilt, wodurch verschiedene Preise pro Jahr möglich sind. Details zur Kalkulation mit Heizgradtagen finden Sie unter www.ewb.ch/heizgradtage",FAQ (Q&A),Warme
,"Ist Biogas CO2-neutral? Ja, Biogas ist CO2-neutral, da es bei der Verbrennung nur so viel Kohlendioxid freisetzt, wie die zur Erzeugung eingesetzten Substrate der Atmosphäre zuvor entzogen haben. Biogas verbrennt aufgrund dieses geschlossenen CO2-Kreislaufs also im Gegensatz zu anderen fossilen Energieträgern wie Erdöl klimaneutral.",FAQ (Q&A),Warme
,Wie setzt sich der Akontobetrag auf den Teilrechnungen zusammen? Der Akonto-/Teilrechnungsbetrag wird grundsätzlich automatisch berechnet. Er basiert jeweils auf dem entsprechenden Schlussrechnungsbetrag der Vorjahresperiode.,FAQ (Q&A),Warme
,"Wie lange gibt es noch Erdgas? Gemessen am heutigen Verbrauch reichen die durch Bohrungen nachgewiesenen Erdgasvorräte noch etwa bis ins Jahr 2065. Zählt man die geschätzten, zusätzlich gewinnbaren Ressourcen dazu, reichen die Vorräte nach heutigen Erkenntnissen bis ins Jahr 2130. Die grössten Erdgasvorräte der Welt befinden sich auf dem Gebiet der ehemaligen Sowjetunion. Dort lagert knapp die Hälfte der weltweiten Ressourcen.",FAQ (Q&A),Warme
,Dürfen wir den Gasherd selber auswechseln? Die Sicherheit liegt der Gasindustrie am Herzen. Aus diesem Grund dürfen an Erdgas führenden Leitungen und Apparaten nur Fachleute arbeiten. Fragen Sie für einen Wechsel des Apparates Ihren konzessionierten Installateur oder uns.,FAQ (Q&A),Warme
,"Warum erhebt Energie Wasser Bern bei einigen Gemeinden einen Regions- oder Aussengemeindezuschlag? Der Gemeindezuschlag wird von Energie Wasser Bern im Auftrag der Gemeinden erhoben. Die Anzahl Kunden und damit die so genannte Anschlussdichte in den Regionsgemeinden ist in der Regel geringer als in der Stadt Bern. Um die daraus entstehenden Mehrkosten zu decken und ein ausgeglichenes Rechnungsresultat zu erhalten, wird der Zuschlag erhoben. Die Erdgasnetze könnten sonst nicht überall rentabel betrieben werden.",FAQ (Q&A),Warme
